iter	Passed	Remaining
0	78	78127
1	84	42218
2	91	30284
3	97	24399
4	103	20643
5	109	18157
6	115	16379
7	121	15121
8	127	14064
9	133	13248
10	140	12653
11	146	12090
12	153	11641
13	159	11216
14	168	11092
15	175	10799
16	184	10657
17	192	10495
18	198	10266
19	205	10064
20	212	9903
21	221	9844
22	228	9702
23	234	9549
24	241	9415
25	247	9266
26	253	9123
27	258	8985
28	265	8884
29	271	8771
30	277	8659
31	283	8565
32	289	8474
33	296	8434
34	302	8348
35	308	8265
36	315	8202
37	324	8207
38	330	8146
39	337	8105
40	343	8045
41	350	7992
42	356	7942
43	362	7878
44	368	7824
45	374	7769
46	381	7727
47	387	7688
48	396	7687
49	404	7689
50	411	7658
51	418	7626
52	424	7584
53	430	7540
54	436	7501
55	442	7465
56	448	7426
57	456	7409
58	462	7377
59	468	7340
60	478	7358
61	484	7331
62	490	7301
63	496	7265
64	502	7232
65	508	7200
66	516	7191
67	523	7176
68	531	7170
69	538	7153
70	544	7126
71	550	7098
72	557	7073
73	562	7044
74	568	7014
75	574	6987
76	583	6997
77	589	6972
78	596	6950
79	602	6924
80	607	6897
81	613	6872
82	620	6853
83	626	6829
84	632	6804
85	637	6779
86	643	6755
87	649	6736
88	655	6712
89	661	6690
90	667	6668
91	673	6646
92	679	6628
93	685	6605
94	691	6585
95	697	6567
96	703	6550
97	709	6530
98	715	6512
99	721	6491
100	730	6497
101	736	6486
102	743	6473
103	749	6456
104	755	6440
105	761	6421
106	767	6402
107	772	6382
108	778	6363
109	785	6351
110	791	6338
111	798	6327
112	804	6312
113	810	6300
114	817	6289
115	826	6295
116	832	6286
117	840	6284
118	848	6278
119	854	6267
120	860	6251
121	866	6236
122	872	6220
123	878	6208
124	885	6197
125	893	6197
126	903	6208
127	911	6208
128	917	6197
129	924	6189
130	934	6197
131	940	6184
132	946	6172
133	954	6167
134	960	6156
135	972	6178
136	980	6178
137	987	6169
138	994	6159
139	1000	6148
140	1006	6134
141	1013	6124
142	1023	6134
143	1029	6118
144	1035	6103
145	1041	6090
146	1047	6080
147	1060	6103
148	1069	6110
149	1076	6102
150	1083	6092
151	1089	6079
152	1095	6066
153	1101	6051
154	1107	6037
155	1113	6023
156	1119	6009
157	1124	5994
158	1130	5980
159	1136	5968
160	1142	5954
161	1148	5940
162	1154	5925
163	1160	5913
164	1166	5901
165	1173	5893
166	1180	5889
167	1187	5881
168	1195	5876
169	1201	5866
170	1208	5861
171	1215	5850
172	1223	5848
173	1230	5840
174	1236	5831
175	1243	5821
176	1249	5810
177	1255	5798
178	1261	5786
179	1267	5773
180	1273	5761
181	1279	5751
182	1285	5738
183	1291	5727
184	1298	5719
185	1304	5710
186	1311	5703
187	1318	5693
188	1324	5682
189	1332	5681
190	1339	5674
191	1347	5671
192	1354	5661
193	1360	5651
194	1366	5639
195	1372	5628
196	1378	5618
197	1384	5606
198	1390	5595
199	1396	5585
200	1403	5580
201	1410	5571
202	1416	5562
203	1424	5559
204	1431	5550
205	1437	5540
206	1444	5533
207	1450	5523
208	1460	5525
209	1466	5518
210	1473	5508
211	1478	5496
212	1484	5483
213	1489	5472
214	1495	5461
215	1501	5450
216	1507	5439
217	1513	5428
218	1519	5417
219	1525	5409
220	1531	5399
221	1537	5389
222	1544	5380
223	1550	5370
224	1555	5359
225	1561	5349
226	1567	5338
227	1574	5329
228	1579	5319
229	1585	5307
230	1592	5302
231	1600	5296
232	1606	5288
233	1612	5278
234	1618	5268
235	1624	5260
236	1631	5253
237	1639	5250
238	1646	5242
239	1653	5234
240	1659	5225
241	1666	5220
242	1676	5221
243	1682	5212
244	1690	5209
245	1696	5200
246	1702	5190
247	1708	5180
248	1714	5170
249	1720	5160
250	1727	5155
251	1734	5148
252	1743	5147
253	1754	5151
254	1761	5145
255	1767	5136
256	1774	5129
257	1782	5127
258	1792	5127
259	1800	5124
260	1808	5119
261	1814	5109
262	1820	5101
263	1826	5092
264	1837	5095
265	1843	5087
266	1849	5078
267	1857	5072
268	1865	5069
269	1875	5070
270	1882	5063
271	1889	5055
272	1895	5046
273	1900	5035
274	1906	5025
275	1912	5017
276	1919	5009
277	1925	5001
278	1933	4996
279	1943	4997
280	1950	4989
281	1956	4982
282	1962	4972
283	1968	4963
284	1974	4952
285	1980	4945
286	1987	4936
287	1993	4927
288	1998	4917
289	2004	4908
290	2011	4899
291	2017	4891
292	2023	4883
293	2030	4875
294	2039	4875
295	2047	4868
296	2053	4859
297	2059	4852
298	2067	4847
299	2075	4842
300	2081	4833
301	2092	4835
302	2100	4830
303	2108	4826
304	2116	4821
305	2122	4813
306	2128	4804
307	2136	4799
308	2142	4791
309	2148	4782
310	2153	4771
311	2160	4763
312	2167	4757
313	2175	4752
314	2181	4744
315	2187	4735
316	2198	4736
317	2205	4730
318	2212	4723
319	2218	4714
320	2225	4706
321	2231	4698
322	2238	4691
323	2246	4686
324	2254	4682
325	2261	4675
326	2267	4667
327	2276	4663
328	2282	4655
329	2289	4649
330	2295	4640
331	2302	4632
332	2307	4622
333	2316	4618
334	2324	4614
335	2330	4606
336	2337	4598
337	2344	4590
338	2349	4581
339	2355	4573
340	2362	4565
341	2368	4556
342	2374	4547
343	2379	4538
344	2385	4529
345	2391	4520
346	2397	4511
347	2403	4502
348	2409	4494
349	2415	4486
350	2422	4478
351	2428	4470
352	2435	4463
353	2440	4454
354	2448	4449
355	2459	4449
356	2466	4442
357	2473	4436
358	2480	4429
359	2487	4422
360	2494	4416
361	2501	4409
362	2510	4405
363	2517	4399
364	2526	4395
365	2533	4388
366	2539	4380
367	2546	4372
368	2552	4364
369	2558	4355
370	2564	4347
371	2570	4339
372	2576	4331
373	2583	4323
374	2589	4315
375	2595	4307
376	2601	4298
377	2610	4295
378	2617	4289
379	2626	4285
380	2634	4280
381	2642	4274
382	2648	4266
383	2656	4261
384	2665	4258
385	2673	4251
386	2679	4243
387	2685	4236
388	2696	4235
389	2703	4228
390	2709	4220
391	2715	4212
392	2722	4204
393	2727	4195
394	2734	4188
395	2741	4181
396	2748	4174
397	2754	4165
398	2760	4157
399	2766	4149
400	2772	4141
401	2781	4136
402	2787	4129
403	2794	4122
404	2800	4114
405	2807	4107
406	2814	4100
407	2820	4091
408	2827	4086
409	2838	4083
410	2847	4080
411	2856	4076
412	2863	4070
413	2870	4063
414	2877	4056
415	2887	4053
416	2894	4046
417	2901	4040
418	2907	4031
419	2913	4022
420	2919	4014
421	2925	4006
422	2931	3998
423	2938	3991
424	2944	3983
425	2949	3974
426	2956	3967
427	2965	3963
428	2972	3956
429	2979	3949
430	2984	3940
431	2990	3931
432	2996	3924
433	3002	3915
434	3008	3907
435	3014	3899
436	3021	3892
437	3028	3885
438	3034	3877
439	3041	3870
440	3052	3869
441	3059	3862
442	3065	3854
443	3072	3847
444	3077	3838
445	3084	3830
446	3090	3822
447	3096	3814
448	3101	3806
449	3107	3798
450	3114	3791
451	3121	3784
452	3130	3779
453	3137	3773
454	3144	3766
455	3150	3758
456	3156	3749
457	3162	3742
458	3168	3734
459	3177	3729
460	3184	3723
461	3190	3715
462	3198	3709
463	3204	3701
464	3213	3697
465	3221	3691
466	3227	3684
467	3234	3676
468	3240	3668
469	3246	3660
470	3251	3652
471	3258	3644
472	3264	3636
473	3270	3629
474	3276	3621
475	3282	3613
476	3288	3605
477	3294	3597
478	3300	3589
479	3306	3581
480	3312	3574
481	3318	3566
482	3324	3558
483	3330	3550
484	3336	3542
485	3341	3533
486	3347	3525
487	3353	3518
488	3360	3511
489	3367	3504
490	3372	3496
491	3381	3491
492	3387	3483
493	3393	3475
494	3399	3467
495	3404	3459
496	3409	3450
497	3416	3444
498	3423	3436
499	3429	3429
500	3435	3422
501	3442	3414
502	3448	3407
503	3454	3399
504	3460	3391
505	3466	3384
506	3473	3377
507	3483	3373
508	3490	3366
509	3496	3359
510	3502	3351
511	3508	3343
512	3514	3336
513	3520	3328
514	3526	3321
515	3532	3313
516	3539	3306
517	3545	3298
518	3551	3291
519	3557	3283
520	3564	3276
521	3570	3269
522	3576	3262
523	3584	3255
524	3590	3248
525	3597	3241
526	3602	3233
527	3608	3225
528	3614	3218
529	3620	3210
530	3627	3204
531	3634	3197
532	3641	3190
533	3651	3186
534	3660	3181
535	3666	3174
536	3675	3169
537	3683	3163
538	3691	3157
539	3700	3152
540	3711	3148
541	3723	3146
542	3731	3140
543	3736	3132
544	3743	3125
545	3755	3122
546	3761	3115
547	3767	3107
548	3773	3100
549	3779	3092
550	3785	3084
551	3791	3076
552	3797	3069
553	3803	3061
554	3809	3054
555	3815	3047
556	3822	3039
557	3830	3033
558	3837	3027
559	3844	3020
560	3851	3013
561	3857	3006
562	3862	2998
563	3869	2991
564	3874	2983
565	3880	2975
566	3886	2968
567	3895	2962
568	3902	2955
569	3909	2949
570	3915	2941
